timestamp,character,ilvl,dungeon,at_level,rested,bonus_floor,red,blue,shards,stones
2022-04-14-20:28:10,Jazzercist,1334,Moon-1,True,False,None,42,105,1280,1
2022-04-15-08:55:54,Jazzercist,1334,Moon-1,True,False,None,40,163,1264,0
2022-04-15-09:05:30,Jazzercist,1334,Moon-1,True,False,None,37,157,1432,0
2022-04-15-11:15:00,Derplearning,1309,Star-1,True,True,None,56,227,1956,5
2022-04-15-11:22:03,Derplearning,1309,Star-1,True,False,None,29,110,984,2
2022-04-15-21:47:33,Trif,1370,Sun-1,True,False,Treasure,35,185,0,3
2022-04-15-21:55:33,Trif,1370,Sun-1,True,False,None,71,183,1672,365
2022-04-15-23:17:43,Goberinsrayer,840,Earth-2,True,True,None,158,470,6429,0
2022-04-15-23:27:44,Goberinsrayer,840,Earth-2,True,False,None,53,201,3428,0
2022-04-16-10:05:26,Trif,1370,Sun-1,True,False,Treasure,130,362,1305,0
2022-04-16-11:51:39,Jazzercist,1340,Moon-2,True,False,None,72,175,1313,3
2022-04-16-12:41:21,Goberinsrayer,896,Earth-3,True,False,None,112,247,4353,4
2022-04-16-12:48:22,Goberinsrayer,896,Earth-3,True,False,Treasure,104,239,6869,6
2022-04-17-11:57:08,Trif,1370,Sun-1,True,False,None,71,204,1742,2
2022-04-17-12:05:18,Trif,1370,Sun-1,True,False,None,49,196,1908,3
2022-04-17-13:38:01,Jazzercist,1342,Moon-2,True,False,None,43,178,1582,3
2022-04-17-13:46:18,Jazzercist,1342,Moon-2,True,False,None,46,174,1314,4
2022-04-17-14:35:18,Kekpuncher,973,Shadow-1,True,True,None,214,783,10576,22
2022-04-17-14:45:24,Kekpuncher,973,Shadow-1,True,True,None,257,664,10562,16
